"","Site","N","K","p1","r1","p2","r2","thresh","maxsurv","surv.sm","alpha1","alpha2","beta1","beta2","incr.thresh","ex.slow","ex.fast","logistic.maxsurv","logistic.surv.sm","maxsize"
"1","amacayacu",291,0.97398475124255,-97.9761097423912,0.253717999185033,757.995339303423,-0.0311520714404046,94.3724221620089,0.973984751212892,0.972768171164676,0.874880511252549,13.2690848488275,1.08207268532509,1.62770555529948,5.15747042463066,0.659165647904448,8.0184537465422,3.62271278976683,3.57575932494344,471.862110810044
"2","amacayacu",505,0.975390143712683,-74.3955171911209,0.293512421201453,450.099729615056,-0.0291272095315741,71.6966204849222,0.975390143712683,0.974719440960497,1.28131652308418,12.8205937858536,2.46206054131713,4.77628646254121,1.86705684356523,0.451589496958768,2.54544313688103,3.67969051357708,3.6521139937895,358.483102424611
"3","amacayacu",995,0.983972108080738,-52.2493037446819,0.277955958762028,453.880135225072,-0.0331278704340239,55.2340215029589,0.983972108080738,0.982891317751125,1.40799905549901,8.39841685338964,2.39283390760373,3.20609337144019,1.87664841312035,0.500180665598154,2.4904797867971,4.11726710169836,4.05091248372758,276.170107514795
"4","amacayacu",232,0.977518105644768,-72.8392232404724,0.284649049175814,547.020442878147,-0.0327694303688884,67.1575093138884,0.977518105644768,0.976634658322132,1.06373818173452,4.32298522851004,1.83035375672026,0.720951324472029,2.87396003130912,0.502281703834451,5.5528944307894,3.77230652414044,3.73285884022046,335.787546569442
"5","amacayacu",212,0.988928539853553,-44.1757460254995,0.0468468101173014,1178.13469783112,-0.029743287353829,148.744537476834,0.988928539853553,0.917093910303429,1.01387372978658,52.0600176790208,0.303617267899982,3.87364328103968,10.5874619446809,2.29365594786724,13.2731618551095,4.49225143482422,2.40350135959094,743.722687384172
"6","amacayacu",207,0.993579085366674,-125.146946822772,0.285588673681403,948.296191915826,-0.0312884250617542,118.576402824617,0.993579085366674,0.993432744037587,0.856738704885006,3.91020207042764,0.902817941030186,0.391704499518917,5.41433174069753,0.756130408577339,9.64784946989016,5.0417530878038,5.01907028019568,592.882014123087
"7","amacayacu",247,0.964572456147077,-24.1966427967416,0.234065406006822,714.996293656094,-0.030375459428684,89.659488287911,0.964572456147077,0.945499557909442,0.771761367124087,20.9869498531512,0.734134196721587,3.23082820304212,4.51482786009344,0.791059093863718,6.18559670345335,3.3041953600006,2.85350460713544,448.297441439555
"8","amacayacu",533,0.987633539491393,-56.0376319593735,0.157635079606938,688.715530830985,-0.031512906020759,85.8180612735849,0.987633539491393,0.981040693288582,0.765629971435278,8.93944951979019,0.889835602172084,1.21994643466327,4.75157712546932,0.690177055940291,7.10512021157539,4.38032370715399,3.94631900983605,429.090306367924
"9","amacayacu",497,0.986252623090879,-91.1716351590848,0.282797083551561,714.991974366558,-0.0299345757453203,89.904915401689,0.986252623090879,0.985650879446009,0.877413394638286,12.5819206158941,1.4067919256442,2.28854665879976,3.57902084112082,0.533801115015725,5.38209727692137,4.27306449614986,4.22961355936996,449.524577008445
"10","amacayacu",257,0.975945775131305,-14.4700661870574,0.174982470748183,147.65847483768,-0.0447271236023738,16.0838957186275,0.975924447557219,0.950801979758572,1.66657628246966,5.33554951992549,5.29139704663362,2.56509414869787,1.14954185730061,0.302296963217114,1.91715632725669,3.70218826896547,2.96145243399354,80.4194785931373
"11","amacayacu",429,0.987454919855462,-31.2787098553923,0.335686984598588,229.782204938378,-0.0398614014872795,26.0555378339697,0.987454919855462,0.986912629553613,1.21725828888182,40.983150985009,1.65214870742806,14.034019990083,2.27926504406491,0.590916750955311,2.85967480744551,4.36580227659175,4.32293383717974,130.277689169848
"12","amacayacu",743,0.983516988677864,-51.9516956279055,0.30086240072746,400.503278245073,-0.0350037201047498,48.2020251183733,0.983516988677864,0.983059622823788,0.873496896328289,16.5570810999087,1.34749755589986,3.50654383142428,3.29091763521129,0.547318068758766,4.60460203092255,4.08880467772696,4.06096981785269,241.010125591866
"13","amacayacu",247,0.971489506043424,-18.1102319579269,0.33337788600772,153.294933244518,-0.0438899186037633,16.5545571482942,0.971489506043424,0.968994735289027,1.3427416956906,3.53412684913975,4.83702189401538,1.3613429024447,1.06006325154098,0.279304783878838,2.14764476831058,3.52855823844607,3.44210215928575,82.7727857414712
"14","amacayacu",279,0.980107737313671,-23.2552285095524,0.146202822491187,755.846037576873,-0.0314706901135044,93.8968671293097,0.980107736961565,0.9474506020854,0.917192143498501,8.73076698341882,1.52293938148555,2.27762409296512,2.53639305604487,0.511459529558799,3.60527068368017,3.89733163720441,2.89202116071951,469.484335646548
"15","amacayacu",566,0.984043089534391,-9.89210594427623,0.152214182316185,508.773997801142,-0.0282405487641024,82.1952108412244,0.98404308947248,0.938706238226573,1.003512956579,8.44297138978948,1.04546197176514,1.53434223814733,3.51166377826591,0.746104480497576,4.97121191569322,4.12177768889432,2.72882451268234,410.976054206122
"16","amacayacu",206,0.980421789354289,-48.5376944201336,0.294147988550397,373.215400983928,-0.0352869354523157,45.2264514622038,0.980421789354289,0.979438813562044,1.27462010317092,55.8774071636287,1.37446920265904,17.2350659852381,2.71335652792169,0.724977054111058,3.26887774957557,3.91356563028227,3.86357462337348,226.132257311019
"17","amacayacu",635,0.971347402736611,-33.8834042022283,0.0860091018505568,632.189393029756,-0.031327409444919,77.3123251940726,0.971347402736273,0.939396893373868,0.952177191143504,24.4984474917422,0.594427273258933,3.19706737376814,5.8686802790122,1.16445179616944,7.52104914630714,3.52344008862988,2.74089191033622,386.561625970363
